"","geo","taxo","stockid","assessid","m.slope.before","m.slope.after","mcont.slope.before","mcont.slope.after","m.diff","mcont.diff","model.diff","mss.slope.before","mss.slope.after","mss.slope.diff","m.pre.positive","mcont.pre.positive","mss.pre.positive","m.post.positive","mcont.post.positive","mss.post.positive"
"1","NWAtl","Other demersal","ACADREDGOMGB","NEFSC-ACADREDGOMGB-1913-2007-MILLER",-0.0555878438683585,0.230292459800545,-0.0582407551449092,0.170192315366333,0.285880303668903,0.228433070511242,0.0574472331576616,-0.053465,0.21088,0.264345,0,0,0,1,1,1
"2","HighSeas","Pelagic","ALBANATL","ICCAT-ALBANATL-1929-2005-WORM",-0.0185180452273228,-0.024369076367691,-0.0177060412864374,-0.0097452720608889,-0.00585103114036822,0.00796076922554849,-0.0138118003659167,-0.01562,-0.014434,0.001186,0,0,0,0,0,0
"3","HighSeas","Pelagic","ALBASPAC","SPC-ALBASPAC-1959-2006-JENSEN",-0.0372963870894205,-0.0294921409082444,-0.0307446320669123,-0.000664418809208322,0.00780424618117614,0.030080213257704,-0.0222759670765279,-0.033707,-0.034901,-0.001194,0,0,0,0,0,0
"4","NEPac","Pleuronectiformes","ALPLAICBSAI","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",0.0457549703433913,-0.0122739588819445,0.0233168246265613,-0.0322189772969045,-0.0580289292253358,-0.0555358019234658,-0.00249312730187001,0.032385,-0.0060381,-0.0384231,1,1,1,0,0,0
"5","NWAtl","Pleuronectiformes","AMPL23K","DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE",-0.0587594282636086,-0.0478977141830569,-0.165663088661895,-0.154801374581343,0.0108617140805516,0.0108617140805517,-3.81639164714898e-17,-0.1073,-0.14696,-0.03966,0,0,0,0,0,0
"6","NWAtl","Pleuronectiformes","AMPL3LNO","NAFO-SC-AMPL3LNO-1955-2007-BAUM",-0.0222439548303582,0.064010051849947,-0.058660410481632,-0.0688029040546984,0.0862540066803052,-0.0101424935730664,0.0963965002533716,-0.052376,0.018713,0.071089,0,0,0,1,0,1
"7","NWAtl","Pleuronectiformes","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN",-0.139776187917249,0.00866832773081366,-0.0992797362687743,0.0283210175013969,0.148444515648063,0.127600753770171,0.0208437618778914,-0.080942,0.020164,0.101106,0,0,0,1,1,1
"8","NEPac","Pleuronectiformes","ARFLOUNDBSAI","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",0.0523703522498462,0.0381299201362477,0.062793274907841,0.0463047614366358,-0.0142404321135984,-0.0164885134712052,0.00224808135760673,0.059161,0.04513,-0.014031,1,1,1,1,1,1
"9","NEPac","Pleuronectiformes","ARFLOUNDGA","AFSC-ARFLOUNDGA-1958-2010-STANTON",0.0508079817825794,0.0224743916923290,0.052111264613566,0.0256640049365858,-0.0283335900902503,-0.0264472596769802,-0.00188633041327014,0.046687,0.024926,-0.021761,1,1,1,1,1,1
"10","NEPac","Pleuronectiformes","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",-0.00950362653078521,0.00273477520247158,-0.00901779238658726,0.0129158583713257,0.0122384017332568,0.0219336507579129,-0.00969524902465615,-0.0059024,0.013643,0.0195454,0,0,0,1,1,1
"11","Med","Pelagic","ATBTUNAEATL","ICCAT-ATBTUNAEATL-1969-2007-WORM",-0.0221454866137863,-0.0550436054565948,-0.0134899822881632,-0.0403419767858673,-0.0328981188428084,-0.0268519944977040,-0.00604612434510438,-0.017268,-0.062149,-0.044881,0,0,0,0,0,0
"12","HighSeas","Pelagic","ATBTUNAWATL","ICCAT-ATBTUNAWATL-1969-2007-WORM",-0.108529249699824,0.0105788006841743,-0.0960505771797997,0.0317741929792161,0.119108050383999,0.127824770159016,-0.00871671977501719,-0.091783,0.019268,0.111051,0,0,0,1,1,1
"13","NEPac","Other demersal","ATKABSAI","AFSC-ATKABSAI-1976-2009-STANTON",0.0189092612989025,-0.00253340359522224,0.0272391328520013,0.00258142981457525,-0.0214426648941247,-0.024657703037426,0.00321503814330128,0.064801,-0.021522,-0.086323,1,1,1,0,1,0
"14","NWAtl","Other demersal","ATLCROAKMATLC","ASMFC-ATLCROAKMATLC-1973-2002-STANTON",0.0676842358624593,0.00343798063757224,0.078175066360963,0.030618768747332,-0.064246255224887,-0.0475562976136311,-0.0166899576112560,0.095238,0.009191,-0.086047,1,1,1,1,1,1
