"region","category","n","index.start","index.end","percent.decline"
"All","All","139","1.22","0.8","34.13"
"All","Pelagic","30","1.09","0.72","34.17"
"All","Demersal","109","1.26","0.83","34.29"
"NEAtl","Pelagic","9","1.25","0.68","45.96"
"NEAtl","Demersal","21","0.89","0.45","49.05"
"NWAtl","Pelagic","1","2.21","3.63","-64.24"
"NWAtl","Demersal","16","0.61","0.36","41.33"
"NorthMidAtl","Pelagic","2","0.68","0.65","4.12"
"NorthMidAtl","Demersal","4","2.04","0.94","53.78"
"Med","Pelagic","1","1.58","0.96","38.94"
"Med","Demersal",NA,NA,NA,NA
"SAfr","Pelagic","1","1.68","1.13","32.72"
"SAfr","Demersal","2","1.71","1.36","20.62"
"NEPac","Pelagic","4","0.41","0.38","6.48"
"NEPac","Demersal","45","1.31","1.24","5.56"
"Aust-NZ","Pelagic","1","NaN","1.71","NaN"
"Aust-NZ","Demersal","20","2.43","1.06","56.28"
"HighSeas","Pelagic","10","1.62","0.82","49.38"
"HighSeas","Demersal","1","4.95","2.16","56.24"
