"region","category","n","index.start","index.end","percent.decline"
"All","All","174","1.36","0.85","37.92"
"All","Pelagic","41","1.15","0.83","27.92"
"All","Demersal","133","1.43","0.85","40.54"
"NEAtl","Pelagic","10","1.67","1.14","32.12"
"NEAtl","Demersal","26","1.48","0.82","44.66"
"NWAtl","Pelagic","5","1.48","0.88","40.45"
"NWAtl","Demersal","20","1.48","0.89","39.94"
"NorthMidAtl","Pelagic","2","1.1","1.14","-3.15"
"NorthMidAtl","Demersal","9","2.37","0.72","69.53"
"Med","Pelagic",NA,NA,NA,NA
"Med","Demersal",NA,NA,NA,NA
"SAfr","Pelagic","2","1.1","0.98","11.31"
"SAfr","Demersal","2","1.23","0.98","20.62"
"NEPac","Pelagic","7","0.63","0.65","-3.26"
"NEPac","Demersal","52","1.22","1.03","15.5"
"Aust-NZ","Pelagic","1","NaN","0.76","NaN"
"Aust-NZ","Demersal","23","1.5","0.6","60.1"
"HighSeas","Pelagic","13","1.41","0.69","51.34"
"HighSeas","Demersal","1","1.2","0.53","56.24"
