"assessid","maxyr","biovalue","tsvalue","ratio"
"1","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2008,129300,350450,2.71036349574633
"2","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2008,292200,383001,1.31074948665298
"3","AFSC-ARFLOUNDGA-1958-2010-STANTON",2010,428307,825959,1.92842750643814
"4","AFSC-ATKABSAI-1976-2009-STANTON",2009,85500,190790,2.23146198830409
"5","AFSC-BKINGCRABPI-1960-2008-JENSEN",2008,4209.33376,3991.61,0.94827595709588
"6","AFSC-BKINGCRABSMI-1960-2008-JENSEN",2008,3350.68,4273.29,1.27535007819308
"7","AFSC-CABEZNCAL-1916-2005-STANTON",2005,426,329.536,0.773558685446009
"8","AFSC-CABEZSCAL-1932-2005-STANTON",2005,96,33.603,0.35003125
"9","AFSC-DUSROCKGA-1973-2008-MELNYCHUK",2007,15511,13857,0.89336599832377
"10","AFSC-FLSOLEBSAI-1977-2008-STANTON",2008,139188,255257,1.83390091099807
"11","AFSC-FLSOLEGA-1978-2008-STANTON",2007,39663,97000,2.44560421551572
"12","AFSC-GHALBSAI-1960-2009-STANTON",2009,38265,198387,5.18455507644061
"13","AFSC-GKINGCRABAIES-1990-2007-JENSEN",2007,38018,50297,1.32297858908938
"14","AFSC-GKINGCRABAIWS-1989-2007-JENSEN",2007,42848,59518,1.38904966392830
"15","AFSC-NROCKBSAI-1974-2009-STANTON",2009,48399,54959,1.13553999049567
"16","AFSC-NROCKGA-1959-2008-MELNYCHUK",2008,19500,42780,2.19384615384615
"17","AFSC-NRSOLEEBSAI-1971-2008-STANTON",2007,173320,302392,1.74470343872606
"18","AFSC-PCODBSAI-1964-2008-MELNYCHUK",2008,373000,491365,1.31733243967828
"19","AFSC-PCODGA-1964-2008-MELNYCHUK",2008,89400,111780,1.2503355704698
"20","AFSC-PERCHEBSAI-1974-2009-STANTON",2009,107627,79294,0.736748213738188
"21","AFSC-POPERCHGA-1959-2008-MELNYCHUK",2008,78045,23214,0.297443782433212
"22","AFSC-REXSOLEGA-1979-2008-STANTON",2007,18877,42000,2.22492980876199
"23","AFSC-REYEROCKBSAI-1974-2009-STANTON",2009,5883,6530,1.10997790243073
"24","AFSC-REYEROCKGA-1974-2007-MELNYCHUK",2007,8694,12805,1.47285484242006
"25","AFSC-RKCRABBB-1960-2008-JENSEN",2008,34070,20912.41,0.613807161725858
"26","AFSC-RKCRABNS-1976-2008-JENSEN",2008,1617.96,1717.62,1.06159608395758
"27","AFSC-RKCRABPI-1981-2009-JENSEN",2009,3928.11,3678.63,0.936488540290369
"28","AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK",2008,100730,129000,1.28065124590489
"29","AFSC-SNOWCRABBS-1979-2008-JENSEN",2008,418030.728,471191.75,1.12717012994317
"30","AFSC-TANNERCRABBSAI-1965-2008-JENSEN",2008,86073.62,66854.92,0.776717884062504
"31","AFSC-WPOLLAI-1976-2008-MELNYCHUK",2008,98987,220580,2.22837342277269
"32","AFSC-WPOLLEBS-1963-2008-MELNYCHUK",2008,1919000,2128000,1.10891089108911
"33","AFSC-WPOLLGA-1964-2008-MELNYCHUK",2008,208000,302000,1.45192307692308
"34","AFSC-YSOLEBSAI-1959-2008-MELNYCHUK",2008,329000,824059,2.50473860182371
"35","ASMFC-ATLCROAKMATLC-1973-2002-STANTON",2002,56467,73274,1.29764287105743
"36","CSIRO-BIGHTREDSE-1958-2007-FULTON",2007,16240.128,21818.2,1.34347463271225
"37","CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",2007,3286.512,6807.37,2.07130538394505
"38","CSIRO-GEMFISHSE-1966-2007-FULTON",2007,5458.32,2089.92,0.382887042166821
"39","CSIRO-MORWONGSE-1913-2007-FULTON",2007,11482.608,7640.13,0.66536539434247
"40","CSIRO-NZLINGESE-1968-2007-FULTON",2007,3324.48,4650.72,1.39893156222928
"41","CSIRO-NZLINGWSE-1968-2007-FULTON",2007,3377.5632,5593.02,1.65593348482717
"42","CSIRO-OROUGHYSE-1978-2007-FULTON",2007,8149.26,18996.6,2.33108282224398
"43","CSIRO-SILVERFISHSE-1978-2006-FULTON",2006,9927.456,11648.3,1.17334189141710
"44","CSIRO-SWHITSE-1945-2007-FULTON",2007,3734.3088,3687.25,0.98739825694115
"45","CSIRO-TIGERFLATSE-1913-2006-FULTON",2006,5472.868,12277.2,2.24328450823225
"46","CSIRO-WAREHOUESE-1984-2006-FULTON",2006,1568.16,4703.88,2.99961738598102
"47","CSIRO-WAREHOUWSE-1984-2006-FULTON",2006,1568.16,1459.34,0.930606570758086
"48","IATTC-BIGEYEEPAC-1975-2007-JENSEN",2007,688,1199,1.74273255813953
"49","ICCAT-ALBANATL-1929-2005-WORM",2005,167000,155920,0.933652694610778
"50","ICCAT-ATBTUNAEATL-1969-2007-WORM",2007,495914.5,308561.37,0.622206791694939
"51","ICCAT-ATBTUNAWATL-1969-2007-WORM",2007,15148,6511,0.429825719566940
"52","ICCAT-SWORDMED-1968-2006-JENSEN",2006,117300,142000,1.21057118499574
"53","ICCAT-YFINATL-1970-2006-JENSEN",2006,173191.00788815,310777,1.79441764205625
"54","INIDEP-ARGANCHONARG-1989-2007-Parma",2007,748152,614617.83,0.821514652102781
"55","INIDEP-ARGHAKENARG-1985-2007-Parma",2007,429200,221606,0.516323392357875
"56","INIDEP-ARGHAKESARG-1985-2008-Parma",2008,701328.02,423762,0.604227961689025
"57","INIDEP-PATGRENADIERSARG-1983-2006-Parma",2006,372542,677161,1.81767693307063
"58","IOTC-BIGEYEIO-1957-2006-JENSEN",2004,350000,800700,2.28771428571429
"59","MARAM-CHAKESA-1917-2008-DEDECKER",2008,218000,662478.7,3.03889311926605
"60","MARAM-DEEPCHAKESA-1917-2008-DEDECKER",2008,321000,259609.5,0.808752336448598
"61","MARAM-KINGKLIPSA-1932-2008-DEDECKER",2008,66828,73520,1.10013766684623
"62","MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER",2008,5678,27700.9,4.87863684395914
"63","NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM",2008,141900,66710,0.470119802677942
"64","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2007,27100,9921.22,0.366096678966790
"65","NEFSC-AMPL5YZ-1960-2008-OBRIEN",2007,22243,11571.99,0.520253113339028
"66","NEFSC-BSBASSMATLC-1968-2007-SHEPHERD",2007,12537,6984.67,0.557124511446120
"67","NEFSC-CODGB-1960-2008-BAUM",2007,148084,37560,0.253639826044677
"68","NEFSC-HAD5Y-1956-2008-BAUM",2007,5900,895,0.151694915254237
"69","NEFSC-HADGB-1930-2008-BAUM",2007,158873,16546,0.104146078943559
"70","NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ",2004,644000,1268870,1.9702950310559
"71","NEFSC-SFLOUNMATLC-1940-2007-BAUM",2007,60074,10536,0.175383693444751
"72","NEFSC-WEAKFISHATLC-1980-2008-STANTON",2008,10179,72000,7.07338638373121
"73","NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE",2007,56300,31370,0.557193605683837
"74","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",2006,16000,5269,0.3293125
"75","NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO",2007,38761,3515.44,0.0906952864993163
"76","NEFSC-WITFLOUN5Y-1982-2008-WIGLEY",2007,11447,7054,0.616231326985236
"77","NEFSC-YELLCCODGOM-1935-2008-LEGAULT",2007,7790,1054,0.135301668806162
"78","NEFSC-YELLGB-1935-2008-BAUM",2007,43200,4472,0.103518518518519
"79","NEFSC-YELLSNEMATL-1935-2008-BAUM",2007,27400,1719,0.0627372262773723
"80","NIWA-AUSSALMONNZ-1975-2006-JENSEN",2006,12280.7293248,22600,1.84028158281781
"81","NIWA-OROUGHYNZMEC-1981-2004-JENSEN",2004,20213.00407,27045.2,1.3380099220452
"82","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2007,16593,51586,3.10890134394022
"83","NWFSC-BGROCKPCOAST-1950-2005-STANTON",2005,3799,5451,1.43485127665175
"84","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2007,1444.6,1744.1,1.20732382666482
"85","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2007,831,275,0.330926594464501
"86","NWFSC-BOCACCSPCOAST-1951-2006-BRANCH",2006,5.429e+09,9.58e+08,0.176459753177381
"87","NWFSC-COWCODSCAL-1900-2007-BRANCH",2007,995,49.8,0.0500502512562814
"88","NWFSC-CROCKPCOAST-1916-2007-BRANCH",2007,12394,4939,0.398499273842182
"89","NWFSC-DKROCKPCOAST-1928-2007-BRANCH",2007,937600000,664400000,0.708617747440273
"90","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",2007,6526,8112,1.24302788844622
"91","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON",2005,123,362.025,2.94329268292683
"92","NWFSC-LSTHORNHPCOAST-1962-2005-STANTON",2005,28305,94063,3.32319378201731
