"assessid","maxyr","total","bmsy","ratio"
"1","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1992,1204320,884410,1.36172137357108
"2","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1992,600869,850373,0.706594635530526
"3","AFSC-ARFLOUNDGA-1958-2010-STANTON",1992,1611650,1692250,0.952371103560349
"4","AFSC-ATKABSAI-1976-2009-STANTON",1992,721683,312447,2.30977733823656
"5","AFSC-CABEZNCAL-1916-2005-STANTON",1992,806.17,966.971,0.83370649171485
"6","AFSC-CABEZSCAL-1932-2005-STANTON",1992,85.32,217.836,0.391670798215171
"7","AFSC-DUSROCKGA-1973-2008-MELNYCHUK",1992,49436,60993.8,0.810508609071742
"8","AFSC-FLSOLEBSAI-1977-2008-STANTON",1992,997580,494925,2.01561852805981
"9","AFSC-NROCKBSAI-1974-2009-STANTON",1992,174588,185876,0.939271342185113
"10","AFSC-NROCKGA-1959-2008-MELNYCHUK",1992,143210,73445.3,1.9498865141813
"11","AFSC-NRSOLEEBSAI-1971-2008-STANTON",1992,1521660,957339,1.58946830746475
"12","AFSC-PCODBSAI-1964-2008-MELNYCHUK",1992,1450780,1315070,1.10319602758789
"13","AFSC-PCODGA-1964-2008-MELNYCHUK",1992,356112,290444,1.22609521973255
"14","AFSC-PERCHEBSAI-1974-2009-STANTON",1992,352225,240138,1.46676077921862
"15","AFSC-POPERCHGA-1959-2008-MELNYCHUK",1992,171168,1174760,0.145704654567742
"16","AFSC-RKCRABBB-1960-2008-JENSEN",1992,45249.88,103901,0.435509571611438
"17","AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK",1992,287000,318547,0.900965948509953
"18","AFSC-SNOWCRABBS-1979-2008-JENSEN",1992,718490.31,1029650,0.697800524450056
"19","AFSC-TANNERCRABBSAI-1965-2008-JENSEN",1992,99831.06,97667.3,1.02215439558583
"20","AFSC-WPOLLEBS-1963-2008-MELNYCHUK",1992,8966000,6223020,1.44077955719249
"21","AFWG-CAPENOR-1965-2007-MINTO",1992,5371000,5200350,1.03281509898372
"22","AFWG-CODCOASTNOR-1982-2006-MINTO",1992,289266,310231,0.93242132475478
"23","AFWG-CODNEAR-1943-2006-MINTO",1992,1912130,2604060,0.734287996436334
"24","AFWG-GHALNEAR-1959-2007-JENNINGS",1992,45036,312354,0.144182562093010
"25","AFWG-GOLDREDNEAR-1986-2006-MINTO",1992,159928,163537,0.977931599576854
"26","AFWG-HADNEAR-1947-2006-MINTO",1992,268334,439090,0.611113894645745
"27","AFWG-POLLNEAR-1957-2006-MINTO",1992,552920,772332,0.715909738299073
"28","ASMFC-PANDALGOM-1960-2009-IDOINE",1992,14400,17784.7,0.809684729008642
"29","CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1992,13431.4,7626.82,1.76107473363735
"30","CSIRO-GEMFISHSE-1966-2007-FULTON",1992,5661.7,38665.5,0.146427693939041
"31","CSIRO-MORWONGSE-1913-2007-FULTON",1992,9616.87,26588.8,0.361688756168011
"32","CSIRO-NZLINGESE-1968-2007-FULTON",1992,10035.5,7133.25,1.40686222969895
"33","CSIRO-OROUGHYCASCADE-1987-2006-FULTON",1992,86709.2,42132.8,2.05799756958949
"34","CSIRO-OROUGHYSE-1978-2007-FULTON",1992,91781.4,85184.3,1.0774450221461
"35","CSIRO-SILVERFISHSE-1978-2006-FULTON",1992,16016.9,12232,1.30942609548725
"36","CSIRO-SWHITSE-1945-2007-FULTON",1992,12190.2,7078.35,1.72218101676238
"37","CSIRO-TIGERFLATSE-1913-2006-FULTON",1992,27520.6,24221.8,1.13619136480361
"38","CSIRO-WAREHOUESE-1984-2006-FULTON",1992,6374.06,9010.24,0.70742399758497
"39","CSIRO-WAREHOUWSE-1984-2006-FULTON",1992,2092.31,2103.89,0.99449590995727
"40","DFO-COD5Zjm-1978-2003-PREFONTAINE",1992,29977,49101.9,0.610505907103391
"41","DFO-HAD4X5Y-1960-2003-PREFONTAINE",1992,37120,90408.4,0.410581317665173
"42","DFO-HAD5Zejm-1969-2003-PREFONTAINE",1992,15154,61779.2,0.245292914119963
"43","DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE",1992,58091,202477,0.286901722170913
"44","DFO-NFLD-MONK2J3KLNOPs-1977-2000-PREFONTAINE",1992,803,1753.95,0.457823769206648
