"taxocategory","geo","stockid","stocklong","assessid","tsyear","ssb"
"1","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1978,4748.72
"2","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1979,21832.51
"3","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1980,39599.82
"4","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1981,39084.58
"5","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1982,28463.71
"6","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1983,36662.7
"7","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1984,44341.47
"8","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1985,37436.3
"9","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1986,29467.48
"10","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1987,43744.92
"11","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1988,57578.83
"12","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1989,38934.73
"13","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1990,24920.73
"14","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1991,33146.48
"15","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1992,55066.2
"16","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1993,39332.21
"17","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1994,28264.2
"18","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1995,32123.1
"19","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1996,34864.16
"20","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1997,39758.82
"21","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1998,41794.53
"22","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",1999,51877.03
"23","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",2000,54283.03
"24","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",2001,70414.73
"25","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",2002,58172.91
"26","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",2003,72198.84
"27","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",2004,87794.21
"28","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",2005,85901.66
"29","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",2006,84923.03
"30","Pelagic","NEPac","HERRSITKA","Pacific herring Sitka","ADFG-HERRSITKA-1978-2007-COLLIE",2007,82880.44
"31","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1975,172125
"32","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1976,208732
"33","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1977,247863
"34","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1978,281912
"35","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1979,308075
"36","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1980,337365
"37","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1981,370607
"38","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1982,411737
"39","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1983,443838
"40","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1984,469901
"41","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1985,476423
"42","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1986,468456
"43","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1987,451535
"44","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1988,432878
"45","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1989,404037
"46","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1990,387198
"47","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1991,369813
"48","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1992,350450
"49","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1993,333477
"50","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1994,323936
"51","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1995,318627
"52","Pleuronectiformes","NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1996,310472
