assessid,commonname1,scientificname,family,tsyear,total,total_unit,ssb,ssb_unit
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1973,227865,MT,89015.2,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1974,224428,MT,86704.4,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1975,220256,MT,84151.5,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1976,217571,MT,80718.2,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1977,215457,MT,79985.7,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1978,211185,MT,77446,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1979,208748,MT,73647.4,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1980,206190,MT,73352.2,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1981,197500,MT,69561.1,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1982,186713,MT,61344.9,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1983,178503,MT,53718.3,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1984,172392,MT,48850.8,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1985,168780,MT,44525.4,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1986,167675,MT,42229,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1987,166410,MT,41227.4,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1988,164763,MT,39174.6,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1989,163444,MT,37974.9,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1990,162315,MT,37091.6,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1991,160291,MT,36184.9,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1992,158070,MT,34414.8,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1993,155682,MT,33018.4,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1994,153114,MT,31103.7,MT
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,Allocyttus niger,Oreosomatidae,1995,151880,MT,29827.9,MT
