scientificname,commonname
Acanthistius brasilianus,Sea bass
Acanthocybium solandri,Wahoo
Acanthopagrus bifasciatus,Twobar seabream
Acanthopagrus latus,Yellowfin seabream
Acanthopagrus schlegeli,Black porgy
Acanthuridae,Surgeonfishes, tangs, unicornfishes
Acetes japonicus,Akiami paste shrimp
Albula vulpes,Bonefish
Alectis alexandrinus,African threadfish
Alepocephalus bairdii,Bairds smooth-head
Alopias,Thresher sharks
Alopias superciliosus,Bigeye thresher
Alopias vulpinus,Thintail thresher
Alosa,Shads
Alosa aestivalis,Blueback shad
Alosa alosa,Allis shad
Alosa fallax,Twaite shad
Alosa mediocris,Hickory shad
Alosa pontica,Pontic shad
Alosa pseudoharengus,Alewife
Alosa sapidissima,American shad
Ambassidae,Asiatic glassfishes
Amblyraja georgiana,Antarctic starry skate
Amblyraja hyperborea,Arctic skate
Ammodytes,Sandlances
Ammodytes personatus,Pacific sandeel
Ammodytidae,Sand lances
Anadara,Anadara clams
Anadara granosa,Blood cockle
Anarhichas,Wolffish
Anarhichas denticulatus,Northern wolffish
Anarhichas lupus,Wolf-fish
Anarhichas minor,Spotted wolffish
Anchoa hepsetus,Broad-striped anchovy
Anchoa mitchilli,Bay anchovy
Anodontostoma chacunda,Chacunda gizzard shad
Anoplopoma fimbria,Sablefish
Anthias anthias,Swallowtail seaperch
Antimora rostrata,Blue antimora
Aphanopus carbo,Black scabbardfish
Apogonidae,Cardinalfishes
Apostichopus japonicus,Japanese sea cucumber
Arca,Ark clams
Archosargus probatocephalus,Sheepshead seabream
Archosargus rhomboidalis,Western Atlantic seabream
Arctica islandica,Ocean quahog
Arctocephalus australis,South American fur seal
Arctocephalus forsteri,New Zealand fur seal
Arctocephalus galapagoensis,Galapagos fur seal
Arctocephalus gazella,Antarctic fur seal
Arctocephalus philippii,Juan Fernandez fur seal
Arctocephalus pusillus,South African &amp; Australian fur seal
Arctocephalus townsendi,Guadalupe fur seal
Arctocephalus tropicalis,Subantarctic fur seal
Arctoscopus japonicus,Sailfin sandfish
Argentina,Argentines
Argentina silus,Greater argentine
Argentina sphyraena,Argentine
Argopecten circularis,Pacific calico scallop
Argopecten gibbus,Calico scallop
Argopecten irradians,Atlantic bay scallop
Argopecten purpuratus,Peruvian calico scallop
Argyrops spinifer,King soldierbream
Argyrosomus hololepidotus,Southern meagre
