"mgmt" "stock" "scientificname" "timespan" "currentyear" "Bratio" "Uratio" "fromassessment" "ref"
"33" "AFMA" "Deepwater flathead Southeast Australia" "\textit{Platycephalus conatus}" "1978-2007" 2006 1.33488137913311 0.605294284387069 "no" "\cite{CSIRO-DEEPFLATHEADSE-1978-2007-FULTON}"
"34" "AFMA" "common gemfish Southeast Australia" "\textit{Rexea solandri}" "1966-2007" 2007 0.097515614695271 0.394576821047927 "no" "\cite{CSIRO-GEMFISHSE-1966-2007-FULTON}"
"35" "AFMA" "Jackass morwong Southeast Australia" "\textit{Nemadactylus macropterus}" "1913-2007" 2007 0.254213052112168 1.79756633961250 "no" "\cite{CSIRO-MORWONGSE-1913-2007-FULTON}"
"36" "AFMA" "New Zealand ling Eastern half of Southeast Australia" "\textit{Genypterus blacodes}" "1968-2007" 2007 0.596606035117233 2.20031929092725 "no" "\cite{CSIRO-NZLINGESE-1968-2007-FULTON}"
"37" "AFMA" "Orange roughy Cascade Plateau" "\textit{Hoplostethus atlanticus}" "1987-2006" 2006 1.75691147989215 0.337842039485692 "no" "\cite{CSIRO-OROUGHYCASCADE-1987-2006-FULTON}"
"38" "AFMA" "Orange roughy Southeast Australia" "\textit{Hoplostethus atlanticus}" "1978-2007" 2006 0.88519011132333 0.294142878169403 "no" "\cite{CSIRO-OROUGHYSE-1978-2007-FULTON}"
"39" "AFMA" "Silverfish Southeast Australia" "\textit{Seriolella punctata}" "1978-2006" 2006 1.14967298888162 0.79395563635935 "no" "\cite{CSIRO-SILVERFISHSE-1978-2006-FULTON}"
"40" "AFMA" "School whiting Southeast Australia" "\textit{Sillago flindersi}" "1945-2007" 2007 1.09779539016861 0.82000379796871 "no" "\cite{CSIRO-SWHITSE-1945-2007-FULTON}"
"41" "AFMA" "Tiger flathead Southeast Australia" "\textit{Neoplatycephalus richardsoni}" "1913-2006" 2006 1.04964123227836 0 "no" "\cite{CSIRO-TIGERFLATSE-1913-2006-FULTON}"
"42" "AFMA" "Blue Warehou Eastern half of Southeast Australia" "\textit{Seriolella brama}" "1984-2006" 2006 0.171724615548531 0.836484734086356 "no" "\cite{CSIRO-WAREHOUESE-1984-2006-FULTON}"
"43" "AFMA" "Blue Warehou Western half of Southeast Australia" "\textit{Seriolella brama}" "1984-2006" 2006 0.622456497250332 2.04426251382107 "no" "\cite{CSIRO-WAREHOUWSE-1984-2006-FULTON}"
"203" "AFMA" "Tasmanian giant crab Tasmania" "\textit{Pseudocarcinus gigas}" "1990-2007" 2007 0.501846548829861 1.70527792238684 "no" "\cite{TAFI-TASGIANTCRABTAS-1990-2007-JENSEN}"
"32" "CCAMLR" "Antarctic toothfish Ross Sea" "\textit{Dissostichus mawsoni}" "1995-2007" 2007 1.76196145269713 1.09397021431874 "no" "\cite{CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN}"
"77" "CFP" "Argentine anchoita Northern Argentina" "\textit{Engraulis anchoita}" "1989-2007" 2007 1.36955102706402 0.168598524762908 "yes" "\cite{INIDEP-ARGANCHONARG-1989-2007-Parma}"
"78" "CFP" "Argentine anchoita Southern Argentina" "\textit{Engraulis anchoita}" "1992-2007" 2007 3.13484672348656 0.0352941176470588 "yes" "\cite{INIDEP-ARGANCHOSARG-1992-2007-Parma}"
"79" "CFP" "Argentine hake Northern Argentina" "\textit{Merluccius hubbsi}" "1985-2007" 2007 0.163236253494874 1.26145303100416 "yes" "\cite{INIDEP-ARGHAKENARG-1985-2007-Parma}"
"80" "CFP" "Argentine hake Southern Argentina" "\textit{Merluccius hubbsi}" "1985-2008" 2008 0.340695071615704 1.49358226371062 "yes" "\cite{INIDEP-ARGHAKESARG-1985-2008-Parma}"
"81" "CFP" "Patagonian grenadier Southern Argentina" "\textit{Macruronus magellanicus}" "1983-2006" 2006 1.81662738697919 0.595021250758956 "yes" "\cite{INIDEP-PATGRENADIERSARG-1983-2006-Parma}"
"84" "DETMCM" "Anchovy South Africa" "\textit{Engraulis encrasicolus}" "1984-2006" 2006 0.97166736359418 0.358369938456281 "no" "\cite{MARAM-ANCHOSA-1984-2006-deMoor}"
"85" "DETMCM" "Shallow-water cape hake South Africa" "\textit{Merluccius capensis}" "1917-2008" 2008 1.15663112503813 0.400027141007563 "no" "\cite{MARAM-CHAKESA-1917-2008-DEDECKER}"
"86" "DETMCM" "Cape horse mackerel South Africa South coast" "\textit{Trachurus capensis}" "1950-2007" 2007 1.47493502535493 0.760576592973883 "no" "\cite{MARAM-CTRACSA-1950-2007-Johnston}"
"87" "DETMCM" "Kingklip South Africa" "\textit{Engraulis encrasicolus}" "1932-2008" 2008 1.12521795358878 0.554641486636281 "no" "\cite{MARAM-KINGKLIPSA-1932-2008-DEDECKER}"
"88" "DETMCM" "Sardine South Africa" "\textit{Sardinops sagax}" "1984-2006" 2006 0.752727373106407 0.554929063783784 "no" "\cite{MARAM-SARDSA-1984-2006-deMoor}"
"89" "DETMCM" "Southern spiny lobster South Africa South coast" "\textit{Palinurus gilchristi}" "1973-2008" 2008 0.514511537930082 1.50488022159011 "no" "\cite{MARAM-SSLOBSTERSASC-1973-2008-Johnston}"
"44" "DFO" "Atlantic cod NAFO 5Zjm" "\textit{Gadus morhua}" "1978-2003" 2002 0.339762819768685 0.448821892089302 "no" "\cite{DFO-COD5Zjm-1978-2003-PREFONTAINE}"
"45" "DFO" "Haddock NAFO-4X5Y" "\textit{Melanogrammus aeglefinus}" "1960-2003" 2003 0.85007587790515 0.327808338368302 "no" "\cite{DFO-HAD4X5Y-1960-2003-PREFONTAINE}"
"46" "DFO" "Haddock NAFO-5Zejm" "\textit{Melanogrammus aeglefinus}" "1969-2003" 2002 0.999996762664457 0.646779260640522 "no" "\cite{DFO-HAD5Zejm-1969-2003-PREFONTAINE}"
"47" "DFO" "Atlantic cod NAFO 2J3KL inshore" "\textit{Gadus morhua}" "1959-2006" 2005 1.60131971856084 0.142498818629044 "no" "\cite{DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE}"
