"assessid" "currentyr" "b.ratio" "u.ratio" "type" "fromassessment"
"1" "AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK" 2008 2.46075792730085 0.0693548387096774 "pepper" "yes"
"70" "AFSC-ARFLOUNDBSAI-1970-2008-STANTON" 2008 1.28190805681742 0.313944723564346 "salt" "no"
"71" "AFSC-ARFLOUNDGA-1958-2010-STANTON" 2007 1.33315408479835 0.279162279050432 "salt" "no"
"72" "AFSC-ATKABSAI-1976-2009-STANTON" 2008 1.50109618591313 0.546564952035914 "salt" "no"
"73" "AFSC-CABEZNCAL-1916-2005-STANTON" 2004 0.886479532478223 0.994158154875713 "salt" "no"
"74" "AFSC-CABEZSCAL-1932-2005-STANTON" 2004 0.810747534842726 0.528447726431252 "salt" "no"
"2" "AFSC-DUSROCKGA-1973-2008-MELNYCHUK" 2007 1.54129327573980 0.542056074766355 "pepper" "yes"
"76" "AFSC-FLSOLEBSAI-1977-2008-STANTON" 2008 1.66164570389453 0.179176239583796 "salt" "no"
"3" "AFSC-GHALBSAI-1960-2009-STANTON" 2009 1.47651901215210 0.0530035335689046 "pepper" "yes"
"77" "AFSC-NROCKBSAI-1974-2009-STANTON" 2008 1.07233316834879 0.133997901078741 "salt" "no"
"4" "AFSC-NROCKGA-1959-2008-MELNYCHUK" 2008 1.49589743589744 0.657534246575343 "pepper" "yes"
"5" "AFSC-NRSOLEEBSAI-1971-2008-STANTON" 2007 3.01508769905377 0.213114754098361 "pepper" "yes"
"80" "AFSC-PCODBSAI-1964-2008-MELNYCHUK" 2007 0.886028880591908 0.930444526960573 "salt" "no"
"81" "AFSC-PCODGA-1964-2008-MELNYCHUK" 2007 1.07376981449092 0.842502522623691 "salt" "no"
"82" "AFSC-PERCHEBSAI-1974-2009-STANTON" 2008 1.69757805928258 0.258636906846731 "salt" "no"
"6" "AFSC-POPERCHGA-1959-2008-MELNYCHUK" 2008 1.16468703952848 0.726027397260274 "pepper" "yes"
"7" "AFSC-RKCRABBB-1960-2008-JENSEN" 2008 1.27256061050778 1.05393939393939 "pepper" "yes"
"8" "AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK" 2008 1.05231807803038 0.663366336633663 "pepper" "yes"
"86" "AFSC-SNOWCRABBS-1979-2008-JENSEN" 2008 0.347578672364396 1.49085050150789 "salt" "no"
"87" "AFSC-TANNERCRABBSAI-1965-2008-JENSEN" 2007 0.766627417774424 0.150999634708817 "salt" "no"
"9" "AFSC-WPOLLAI-1976-2008-MELNYCHUK" 2008 0.8580520674432 0.0224089635854342 "pepper" "yes"
"88" "AFSC-WPOLLEBS-1963-2008-MELNYCHUK" 2008 0.678448727466728 0.852132795931809 "salt" "no"
"10" "AFSC-YSOLEBSAI-1959-2008-MELNYCHUK" 2008 1.93863525835866 0.615384615384615 "pepper" "yes"
"11" "ASMFC-ATLCROAKMATLC-1973-2002-STANTON" 2002 1.42256539217596 0.270270270270270 "pepper" "yes"
"98" "CSIRO-DEEPFLATHEADSE-1978-2007-FULTON" 2006 1.33488137913311 0.605294284387069 "salt" "no"
"99" "CSIRO-GEMFISHSE-1966-2007-FULTON" 2007 0.097515614695271 0.394576821047927 "salt" "no"
"100" "CSIRO-MORWONGSE-1913-2007-FULTON" 2007 0.254213052112168 1.79756633961250 "salt" "no"
"101" "CSIRO-NZLINGESE-1968-2007-FULTON" 2007 0.596606035117233 2.20031929092725 "salt" "no"
"103" "CSIRO-OROUGHYSE-1978-2007-FULTON" 2006 0.88519011132333 0.294142878169403 "salt" "no"
"104" "CSIRO-SILVERFISHSE-1978-2006-FULTON" 2006 1.14967298888162 0.79395563635935 "salt" "no"
"105" "CSIRO-SWHITSE-1945-2007-FULTON" 2007 1.09779539016861 0.82000379796871 "salt" "no"
"106" "CSIRO-TIGERFLATSE-1913-2006-FULTON" 2006 1.04964123227836 0 "salt" "no"
"107" "CSIRO-WAREHOUESE-1984-2006-FULTON" 2006 0.171724615548531 0.836484734086356 "salt" "no"
"108" "CSIRO-WAREHOUWSE-1984-2006-FULTON" 2006 0.622456497250332 2.04426251382107 "salt" "no"
"12" "ICCAT-ALBANATL-1929-2005-WORM" 2005 0.812874251497006 1.48950276243094 "pepper" "yes"
"13" "ICCAT-ATBTUNAEATL-1969-2007-WORM" 2007 0.335605633632410 9.38087125608202 "pepper" "yes"
"14" "ICCAT-ATBTUNAWATL-1969-2007-WORM" 2007 0.57387113810404 1.32666666666667 "pepper" "yes"
"15" "ICCAT-SWORDMED-1968-2006-JENSEN" 2006 0.93776641091219 1.26570048309179 "pepper" "yes"
"16" "ICCAT-YFINATL-1970-2006-JENSEN" 2006 1.06856875686941 0.809722127398102 "pepper" "yes"
"17" "INIDEP-ARGANCHONARG-1989-2007-Parma" 2007 1.36955102706402 0.168598524762908 "pepper" "yes"
"18" "INIDEP-ARGANCHOSARG-1992-2007-Parma" 2007 3.13484672348656 0.0352941176470588 "pepper" "yes"
"19" "INIDEP-ARGHAKENARG-1985-2007-Parma" 2007 0.163236253494874 1.26145303100416 "pepper" "yes"
"20" "INIDEP-ARGHAKESARG-1985-2008-Parma" 2008 0.340695071615704 1.49358226371062 "pepper" "yes"
"21" "INIDEP-PATGRENADIERSARG-1983-2006-Parma" 2006 1.81662738697919 0.595021250758956 "pepper" "yes"
"22" "IOTC-BIGEYEIO-1957-2006-JENSEN" 2004 1.22857142857143 0.966666666666667 "pepper" "yes"
"150" "MARAM-CHAKESA-1917-2008-DEDECKER" 2008 1.15663112503813 0.400027141007563 "salt" "no"
"152" "MARAM-KINGKLIPSA-1932-2008-DEDECKER" 2008 1.12521795358878 0.554641486636281 "salt" "no"
"23" "NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM" 2008 1.88019732205779 0.0406976744186047 "pepper" "yes"
"163" "NEFSC-AMPL5YZ-1960-2008-OBRIEN" 2007 0.54572237128746 0.301241029444512 "salt" "no"
"165" "NEFSC-BSBASSMATLC-1968-2007-SHEPHERD" 2007 1.21063554069789 0.669328553464549 "salt" "no"
"166" "NEFSC-CODGB-1960-2008-BAUM" 2007 0.180958604498214 0.724580272905359 "salt" "no"
"168" "NEFSC-HAD5Y-1956-2008-BAUM" 2007 0.359168241965974 1.20515000769957 "salt" "no"
"176" "NEFSC-WEAKFISHATLC-1980-2008-STANTON" 2008 0.0551318089193521 1.48795515118463 "salt" "no"
"24" "NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE" 2007 0.351865008880995 0.8 "pepper" "yes"
"178" "NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON" 2006 1.41091235383370 0.251618064315943 "salt" "no"
"179" "NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO" 2007 0.167053995714922 1.10316478604902 "salt" "no"
"25" "NEFSC-WITFLOUN5Y-1982-2008-WIGLEY" 2007 0.29999126408666 1.45 "pepper" "yes"
"26" "NEFSC-YELLCCODGOM-1935-2008-LEGAULT" 2007 0.246726572528883 1.73221757322176 "pepper" "yes"
"27" "NEFSC-YELLGB-1935-2008-BAUM" 2007 0.220509259259259 1.14173228346457 "pepper" "yes"
"28" "NEFSC-YELLSNEMATL-1935-2008-BAUM" 2007 0.128029197080292 1.61417322834646 "pepper" "yes"
"29" "NIWA-AUSSALMONNZ-1975-2006-JENSEN" 2006 1.64485345012919 0.328125 "pepper" "yes"
"30" "NIWA-OROUGHYNZMEC-1981-2004-JENSEN" 2004 1.20446470577493 0.353021420454545 "pepper" "yes"
"31" "NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH" 2007 3.81495208822998 0.209523809523810 "pepper" "yes"
"186" "NWFSC-BGROCKPCOAST-1950-2005-STANTON" 2004 0.796919246167367 1.19686152056877 "salt" "no"
"32" "NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH" 2007 2.23349023951267 0.327166064981950 "pepper" "yes"
"33" "NWFSC-BLUEROCKCAL-1916-2007-BRANCH" 2007 0.74849578820698 1.19106699751861 "pepper" "yes"
"34" "NWFSC-BOCACCSPCOAST-1951-2006-BRANCH" 2006 0.318106465279057 0.0952380952380952 "pepper" "yes"
"35" "NWFSC-COWCODSCAL-1900-2007-BRANCH" 2007 0.0939698492462312 0.0740740740740741 "pepper" "yes"
