"","mgmt","stock","scientificname","assessmethod","timespan","currentyear","Bratio","bfromassessment","Uratio","ufromassessment"
"49","AFMA","Bight redfish Southeast Australia","\textit{Centroberyx gerrardi}","Integrated Analysis","1958-2007",NA,NA,NA,NA,NA
"55","AFMA","New Zealand ling Eastern half of Southeast Australia","\textit{Genypterus blacodes}","Integrated Analysis","1968-2007",2007,0.589601982866493,"yes",2.20031929092725,"no"
"56","AFMA","New Zealand ling Western half of Southeast Australia","\textit{Genypterus blacodes}","Integrated Analysis","1968-2007",NA,NA,NA,NA,NA
"57","AFMA","Orange roughy Cascade Plateau","\textit{Hoplostethus atlanticus}","Integrated Analysis","1987-2006",NA,NA,NA,NA,NA
"58","AFMA","Orange roughy Southeast Australia","\textit{Hoplostethus atlanticus}","Integrated Analysis","1978-2007",2007,0.518699857410366,"yes",0.294142878169403,"no"
"54","AFMA","Jackass morwong Southeast Australia","\textit{Nemadactylus macropterus}","Integrated Analysis","1913-2007",2007,0.312739928072090,"yes",1.79756633961250,"no"
"61","AFMA","Tiger flathead Southeast Australia","\textit{Neoplatycephalus richardsoni}","Integrated Analysis","1913-2006",2006,1.98751367655862,"yes",1.02760248204873,"no"
"50","AFMA","Northern Australia brown tiger shrimp","\textit{Penaeus esculentus}","Biomass dynamics model","1970-2006",NA,NA,NA,NA,NA
"53","AFMA","Northern Australia grooved Tiger Prawn","\textit{Penaeus esculentus}","Biomass dynamics model","1970-2006",NA,NA,NA,NA,NA
"51","AFMA","Deepwater flathead Southeast Australia","\textit{Platycephalus conatus}","Integrated Analysis","1978-2007",2007,1.50638123335621,"yes",0.605294284387069,"no"
"282","AFMA","Tasmanian giant crab Tasmania","\textit{Pseudocarcinus gigas}","Unknown","1990-2007",NA,NA,NA,NA,NA
"52","AFMA","common gemfish Southeast Australia","\textit{Rexea solandri}","Integrated Analysis","1966-2007",2007,0.248653431825177,"yes",0.394576821047927,"no"
"62","AFMA","Blue Warehou Eastern half of Southeast Australia","\textit{Seriolella brama}","Integrated Analysis","1984-2006",2006,0.488055428017549,"yes",0.836484734086356,"no"
"63","AFMA","Blue Warehou Western half of Southeast Australia","\textit{Seriolella brama}","Integrated Analysis","1984-2006",2006,0.413227604326089,"yes",2.04426251382107,"no"
"59","AFMA","Silverfish Southeast Australia","\textit{Seriolella punctata}","Integrated Analysis","1978-2006",2006,1.03062657744341,"yes",0.79395563635935,"no"
"60","AFMA","School whiting Southeast Australia","\textit{Sillago flindersi}","Integrated Analysis","1945-2007",2007,0.663255272300995,"yes",0.82000379796871,"no"
"47","CCAMLR","Antarctic toothfish Ross Sea","\textit{Dissostichus mawsoni}","Integrated Analysis","1995-2007",NA,NA,NA,NA,NA
"109","CFP","Argentine anchoita Northern Argentina","\textit{Engraulis anchoita}","VPA","1989-2007",2007,1.36955102706402,"yes",0.168598524762908,"yes"
"110","CFP","Argentine anchoita Southern Argentina","\textit{Engraulis anchoita}","Biomass dynamics model","1992-2007",2007,3.13484672348656,"yes",0.0352941176470588,"yes"
"113","CFP","Patagonian grenadier Southern Argentina","\textit{Macruronus magellanicus}","VPA","1983-2006",2006,1.81662738697919,"yes",0.595021250758956,"yes"
"111","CFP","Argentine hake Northern Argentina","\textit{Merluccius hubbsi}","VPA","1985-2007",2007,0.163236253494874,"yes",1.26145303100416,"yes"
