"assessid" "maxyr.x" "numerator" "denominator" "ratio.x" "btype" "maxyr.y" "u" "fmsy" "ratio.y" "utype"
"1" "AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK" 2008 129300 318176 2.46075792730085 "yes" 2008 0.62 0.043 0.0693548387096774 "yes"
"2" "AFSC-ARFLOUNDBSAI-1970-2008-STANTON" 2008 292200 788485 2.69844284736482 "yes" 2008 0.0177992844693147 0.0566956 0.313944723564346 "no"
"3" "AFSC-ARFLOUNDGA-1958-2010-STANTON" 2010 428307 1293640 3.02035689353665 "yes" 2007 0.0112427582966539 0.0402732 0.279162279050432 "no"
"4" "AFSC-ATKABSAI-1976-2009-STANTON" 2009 85500 132330 1.54771929824561 "yes" 2008 0.12466818616968 0.228094 0.546564952035914 "no"
"5" "AFSC-CABEZNCAL-1916-2005-STANTON" 2005 426 444.912 1.04439436619718 "yes" 2004 0.0850559962669155 0.0855558 0.994158154875713 "no"
"6" "AFSC-CABEZSCAL-1932-2005-STANTON" 2005 96 70.818 0.7376875 "yes" 2004 0.0724760772323198 0.137149 0.528447726431252 "no"
"7" "AFSC-DUSROCKGA-1973-2008-MELNYCHUK" 2007 15511 23907 1.5412932757398 "yes" 2007 0.107 0.058 0.542056074766355 "yes"
"8" "AFSC-FLSOLEBSAI-1977-2008-STANTON" 2008 139188 255126 1.83295973790844 "yes" 2008 0.0258721531147023 0.144395 0.179176239583796 "no"
"9" "AFSC-GHALBSAI-1960-2009-STANTON" 2009 38265 56499 1.4765190121521 "yes" 2007 0.566 0.03 0.0530035335689046 "yes"
"10" "AFSC-NROCKBSAI-1974-2009-STANTON" 2009 48399 68233 1.40980185541024 "yes" 2008 0.00444007405140452 0.0331354 0.133997901078741 "no"
"11" "AFSC-NROCKGA-1959-2008-MELNYCHUK" 2008 19500 29170 1.49589743589744 "yes" 2007 0.073 0.048 0.657534246575343 "yes"
"12" "AFSC-NRSOLEEBSAI-1971-2008-STANTON" 2007 173320 522575 3.01508769905377 "yes" 2007 0.183 0.039 0.213114754098361 "yes"
"13" "AFSC-PCODBSAI-1964-2008-MELNYCHUK" 2008 373000 372037 0.997418230563003 "yes" 2007 0.14899115165767 0.160129 0.930444526960573 "no"
"14" "AFSC-PCODGA-1964-2008-MELNYCHUK" 2008 89400 81473 0.911331096196868 "yes" 2007 0.165097636835861 0.195961 0.842502522623691 "no"
"15" "AFSC-PERCHEBSAI-1974-2009-STANTON" 2009 107627 132900 1.23482025885698 "yes" 2008 0.0309748732377782 0.119762 0.258636906846731 "no"
"16" "AFSC-POPERCHGA-1959-2008-MELNYCHUK" 2008 78045 90898 1.16468703952848 "yes" 2007 0.073 0.053 0.726027397260274 "yes"
