commonname1, scientificname
"African moonfish","Selene dorsalis"
"African striped grunt","Parapristipoma octolineatum"
"African threadfish","Alectis alexandrinus"
"Alaska plaice","Pleuronectes quadrituberculatus"
"Alaska pollack","Theragra chalcogramma"
"Albacore","Thunnus alalunga"
"Alewife","Alosa pseudoharengus"
"Alfonsino","Beryx decadactylus"
"Allis shad","Alosa alosa"
"Ambon emperor","Lethrinus amboinensis"
"American angler","Lophius americanus"
"American butterfish","Peprilus triacanthus"
"American conger","Conger oceanicus"
"American gizzard shad","Dorosoma cepedianum"
"American harvestfish","Peprilus paru"
"American plaice","Hippoglossoides platessoides"
"American shad","Alosa sapidissima"
"Anchoveta","Engraulis ringens"
"Angelshark","Squatina squatina"
"Angler","Lophius piscatorius"
"Angola dentex","Dentex angolensis"
"Angular roughshark","Oxynotus centrina"
"Annular seabream","Diplodus annularis"
"Antarctic armless flounder","Mancopsetta maculata antarctica"
"Antarctic butterfish","Hyperoglyphe antarctica"
"Antarctic silverfish","Pleuragramma antarcticum"
"Antarctic toothfish","Dissostichus mawsoni"
"Araucanian herring","Strangomera bentincki"
"Arctic cisco","Coregonus autumnalis"
"Arctic skate","Amblyraja hyperborea"
"Areolate grouper","Epinephelus areolatus"
"Argentine","Argentina sphyraena"
"Argentine anchoita","Engraulis anchoita"
"Argentine angelshark","Squatina argentina"
"Argentine conger","Conger orbignianus"
"Argentine croaker","Umbrina canosai"
"Argentine goatfish","Mullus argentinae"
"Argentine hake","Merluccius hubbsi"
"Argentine menhaden","Brevoortia pectinata"
"Argentinian sandperch","Pseudopercis semifasciata"
"Arrowtooth flounder","Atheresthes stomias"
"Atka mackerel","Pleurogrammus monopterygius"
"Atlantic anchoveta","Cetengraulis edentulus"
"Atlantic blue marlin","Makaira nigricans"
"Atlantic bluefin tuna","Thunnus thynnus"
"Atlantic bonito","Sarda sarda"
"Atlantic bumper","Chloroscombrus chrysurus"
"Atlantic cod","Gadus morhua"
"Atlantic croaker","Micropogonias undulatus"
"Atlantic emperor","Lethrinus atlanticus"
"Atlantic goldeye tilefish","Caulolatilus chrysops"
"Atlantic halibut","Hippoglossus hippoglossus"
"Atlantic herring","Clupea harengus"
"Atlantic horse mackerel","Trachurus trachurus"
"Atlantic mackerel","Scomber scombrus"
"Atlantic menhaden","Brevoortia tyrannus"
"Atlantic moonfish","Selene setapinnis"
"Atlantic pomfret","Brama brama"
"Atlantic rainbow smelt","Osmerus mordax mordax"
"Atlantic sailfish","Istiophorus albicans"
"Atlantic salmon","Salmo salar"
"Atlantic saury","Scomberesox saurus saurus"
"Atlantic silverside","Menidia menidia"
"Atlantic spotted flounder","Citharus linguatula"
"Atlantic thread herring","Opisthonema oglinum"
"Atlantic tomcod","Microgadus tomcod"
"Atlantic tripletail","Lobotes surinamensis"
"Atlantic white marlin","Tetrapturus albidus"
"Australian ruff","Arripis georgianus"
"Axillary seabream","Pagellus acarne"
"Bairds smooth-head","Alepocephalus bairdii"
"Bali sardinella","Sardinella lemuru"
"Ballan wrasse","Labrus bergylta"
"Ballyhoo","Hemiramphus brasiliensis"
"Baltic herring","Clupea harengus membras"
"Baltic sprat","Sprattus sprattus balticus"
"Banded yellowfish","Centriscops humerosus"
"Bar jack","Carangoides ruber"
"Barndoor skate","Dipturus laevis"
"Barramundi","Lates calcarifer"
"Barred flagtail","Kuhlia mugil"
"Barred grunt","Conodon nobilis"
"Barred thicklip","Hemigymnus fasciatus"
"Bartail flathead","Platycephalus indicus"
"Basketwork eel","Diastobranchus capensis"
