"region","category","n","index.start","index.end","percent.decline"
"All","All","159","1.33","0.79","40.06"
"All","Pelagic","36","1.19","0.71","40.73"
"All","Demersal","123","1.37","0.82","39.83"
"NEAtl","Pelagic","10","1.19","0.57","51.76"
"NEAtl","Demersal","23","0.88","0.47","45.86"
"NWAtl","Pelagic","2","1.5","2.44","-63.09"
"NWAtl","Demersal","15","0.67","0.31","53.95"
"NorthMidAtl","Pelagic","2","0.69","0.62","10.19"
"NorthMidAtl","Demersal","8","1.4","0.47","66.58"
"Med","Pelagic",NA,NA,NA,NA
"Med","Demersal",NA,NA,NA,NA
"SAfr","Pelagic","1","1.22","1.44","-17.62"
"SAfr","Demersal","3","1.72","1.29","25.01"
"NEPac","Pelagic","6","0.43","0.31","27.78"
"NEPac","Demersal","48","1.4","1.27","9.65"
"Aust-NZ","Pelagic","1","NaN","1.71","NaN"
"Aust-NZ","Demersal","23","2.7","1.12","58.6"
"HighSeas","Pelagic","13","2.23","1.01","54.64"
"HighSeas","Demersal","3","3.53","1.57","55.44"
