"region","category","n","index.start","index.end","percent.decline"
"All","All","181","1.4","0.84","40.14"
"All","Pelagic","44","1.23","0.82","33.17"
"All","Demersal","137","1.45","0.84","42.07"
"NEAtl","Pelagic","10","1.67","1.14","32.12"
"NEAtl","Demersal","26","1.48","0.82","44.66"
"NWAtl","Pelagic","7","1.45","0.94","35.52"
"NWAtl","Demersal","21","1.6","0.82","48.79"
"NorthMidAtl","Pelagic","2","1.1","1.14","-3.15"
"NorthMidAtl","Demersal","9","2.37","0.72","69.53"
"Med","Pelagic",NA,NA,NA,NA
"Med","Demersal",NA,NA,NA,NA
"SAfr","Pelagic","1","0.92","1.08","-18.19"
"SAfr","Demersal","3","1.26","0.94","25.01"
"NEPac","Pelagic","7","0.63","0.65","-3.26"
"NEPac","Demersal","52","1.22","1.03","15.5"
"Aust-NZ","Pelagic","1","NaN","0.76","NaN"
"Aust-NZ","Demersal","23","1.5","0.6","60.1"
"HighSeas","Pelagic","14","1.49","0.66","55.58"
"HighSeas","Demersal","3","1.48","0.65","56.03"
