"","ocean","year","fratio","nstocks.Var1","nstocks.Freq"
"as.factor(tsyear)1959","Atlantic",1959,1.02337223051039,"1959",2
"as.factor(tsyear)1960","Atlantic",1960,0.855630411084131,"1960",3
"as.factor(tsyear)1961","Atlantic",1961,0.690868801249687,"1961",3
"as.factor(tsyear)1962","Atlantic",1962,0.485910211465734,"1962",3
"as.factor(tsyear)1963","Atlantic",1963,0.665419703623153,"1963",3
"as.factor(tsyear)1964","Atlantic",1964,0.452736025158104,"1964",3
"as.factor(tsyear)1965","Atlantic",1965,0.634697346827347,"1965",4
"as.factor(tsyear)1966","Atlantic",1966,0.720517938702738,"1966",4
"as.factor(tsyear)1967","Atlantic",1967,1.10475828929044,"1967",4
"as.factor(tsyear)1968","Atlantic",1968,1.03803495863062,"1968",4
"as.factor(tsyear)1969","Atlantic",1969,1.22588428162725,"1969",4
"as.factor(tsyear)1970","Atlantic",1970,1.22365567081974,"1970",4
"as.factor(tsyear)1971","Atlantic",1971,1.81703882374051,"1971",4
"as.factor(tsyear)1972","Atlantic",1972,1.82202980800252,"1972",4
"as.factor(tsyear)1973","Atlantic",1973,1.82174319149358,"1973",4
"as.factor(tsyear)1974","Atlantic",1974,1.6567166738222,"1974",5
"as.factor(tsyear)1975","Atlantic",1975,1.55546586007522,"1975",6
"as.factor(tsyear)1976","Atlantic",1976,1.29554584616157,"1976",6
"as.factor(tsyear)1977","Atlantic",1977,1.15984929379349,"1977",7
"as.factor(tsyear)1978","Atlantic",1978,1.04329892692479,"1978",8
"as.factor(tsyear)1979","Atlantic",1979,1.12937383607931,"1979",8
"as.factor(tsyear)1980","Atlantic",1980,1.10202264310763,"1980",8
"as.factor(tsyear)1981","Atlantic",1981,1.16193678744957,"1981",8
"as.factor(tsyear)1982","Atlantic",1982,1.21728141225485,"1982",8
"as.factor(tsyear)1983","Atlantic",1983,1.0429265608774,"1983",8
"as.factor(tsyear)1984","Atlantic",1984,0.935012725587572,"1984",8
"as.factor(tsyear)1985","Atlantic",1985,1.17841180404657,"1985",8
"as.factor(tsyear)1986","Atlantic",1986,1.50254590562518,"1986",8
"as.factor(tsyear)1987","Atlantic",1987,1.79310792665535,"1987",8
"as.factor(tsyear)1988","Atlantic",1988,1.61962756496025,"1988",8
"as.factor(tsyear)1989","Atlantic",1989,1.50139499455385,"1989",8
"as.factor(tsyear)1990","Atlantic",1990,1.79431278515567,"1990",8
"as.factor(tsyear)1991","Atlantic",1991,2.28574909053095,"1991",8
"as.factor(tsyear)1992","Atlantic",1992,2.2856389423629,"1992",8
"as.factor(tsyear)1993","Atlantic",1993,2.56393787026513,"1993",8
"as.factor(tsyear)1994","Atlantic",1994,0.541797596704207,"1994",8
"as.factor(tsyear)1995","Atlantic",1995,0.130492745488113,"1995",8
"as.factor(tsyear)1996","Atlantic",1996,0.13452573653315,"1996",8
"as.factor(tsyear)1997","Atlantic",1997,0.326473628064985,"1997",8
"as.factor(tsyear)1998","Atlantic",1998,0.425692092491417,"1998",8
"as.factor(tsyear)1999","Atlantic",1999,0.583882230429179,"1999",8
"as.factor(tsyear)2000","Atlantic",2000,0.638915558234552,"2000",8
"as.factor(tsyear)2001","Atlantic",2001,0.598351887694951,"2001",8
"as.factor(tsyear)2002","Atlantic",2002,0.564142564162349,"2002",8
"as.factor(tsyear)2003","Atlantic",2003,0.463942324314703,"2003",7
"as.factor(tsyear)2004","Atlantic",2004,0.378784018561942,"2004",7
"as.factor(tsyear)2005","Atlantic",2005,0.387182478058959,"2005",6
"as.factor(tsyear)2006","Atlantic",2006,0.215860850113885,"2006",6
"as.factor(tsyear)2007","Atlantic",2007,0.59262406119668,"2007",2
"as.factor(tsyear)2008","Atlantic",2008,1.58707478124884,"2008",1
