"area","stockid","areaname","commonname","scientificname","taxocategory"
"Aust-NZ","AUSSALMONNZ","New Zealand","Australian salmon","Arripis trutta","Pelagic"
"Aust-NZ","BIGHTREDSE","Southeast Australia","Bight redfish","Centroberyx gerrardi","Other demersal"
"Aust-NZ","BLACKOREOWECR","West end of Chatham Rise","Black oreo","Allocyttus niger","Other demersal"
"Aust-NZ","DEEPFLATHEADSE","Southeast Australia","Deepwater flathead","Platycephalus conatus","Other demersal"
"Aust-NZ","GEMFISHNZ","New Zealand","common gemfish","Rexea solandri","Other demersal"
"Aust-NZ","GEMFISHSE","Southeast Australia","common gemfish","Rexea solandri","Other demersal"
"Aust-NZ","HOKIENZ","Eastern New Zealand","Hoki","Macruronus novaezelandiae","Other demersal"
"Aust-NZ","HOKIWNZ","Western New Zealand","Hoki","Macruronus novaezelandiae","Other demersal"
"Aust-NZ","MORWONGSE","Southeast Australia","Hawaiian morwong","Nemadactylus macropterus","Other demersal"
"Aust-NZ","NZLINGESE","Southeast Australia","New Zealand ling","Genypterus blacodes","Other demersal"
"Aust-NZ","NZLINGLIN3-4","New Zealand Areas LIN 3 and 4","New Zealand ling","Genypterus blacodes","Other demersal"
"Aust-NZ","NZLINGLIN5-6","New Zealand Areas LIN 5 and 6","New Zealand ling","Genypterus blacodes","Other demersal"
"Aust-NZ","NZLINGLIN6b","New Zealand Areas LIN 6b","New Zealand ling","Genypterus blacodes","Other demersal"
"Aust-NZ","NZLINGLIN72","New Zealand Areas LIN 72","New Zealand ling","Genypterus blacodes","Other demersal"
"Aust-NZ","NZLINGLIN7WC","New Zealand Areas LIN 7WC-WCSI","New Zealand ling","Genypterus blacodes","Other demersal"
"Aust-NZ","NZLINGWSE","Western half of Southeast Australia","New Zealand ling","Genypterus blacodes","Other demersal"
"Aust-NZ","NZSNAPNZ8","New Zealand Area 8 (Auckland and Central West)","New Zealand snapper","Chrysophrys auratus","Other demersal"
"Aust-NZ","OROUGHYNZMEC","New Zealand Mid East Coast","Orange roughy","Hoplostethus atlanticus","Other demersal"
"Aust-NZ","OROUGHYSE","Southeast Australia","Orange roughy","Hoplostethus atlanticus","Other demersal"
"Aust-NZ","SBWHITACIR","New Zealand - Campbell Island Rise","Southern blue whiting","Micromesistius australis","Gadidae"
"Aust-NZ","SILVERFISHSE","Southeast Australia","Silverfish","Seriolella punctata","Other demersal"
"Aust-NZ","SMOOTHOREOCR","Chatham Rise","Smooth oreo","Pseudocyttus maculatus","Other demersal"
"Aust-NZ","SMOOTHOREOWECR","West end of Chatham Rise","Smooth oreo","Pseudocyttus maculatus","Other demersal"
"Aust-NZ","SOUTHHAKECR","Chatham Rise","Southern hake","Merluccius australis","Other demersal"
"Aust-NZ","SOUTHHAKESA","Sub-Antarctic","Southern hake","Merluccius australis","Other demersal"
"Aust-NZ","SWHITSE","Southeast Australia","School whiting","Sillago flindersi","Other demersal"
"Aust-NZ","TIGERFLATSE","Southeast Australia","Tiger flathead","Neoplatycephalus richardsoni","Other demersal"
"Aust-NZ","TREVALLYTRE7","New Zealand Areas TRE 7","Trevally","Pseudocaranx dentex","Other demersal"
"HighSeas","ALBANATL","Northern Atlantic","Albacore tuna","Thunnus alalunga","Pelagic"
"HighSeas","ALBASPAC","South Pacific Ocean","Albacore tuna","Thunnus alalunga","Pelagic"
"HighSeas","ATBTUNAEATL","Eastern Atlantic","Atlantic bluefin tuna","Thunnus thynnus","Pelagic"
"HighSeas","ATBTUNAWATL","Western Atlantic","Atlantic bluefin tuna","Thunnus thynnus","Pelagic"
"HighSeas","BIGEYEATL","Atlantic","Bigeye tuna","Thunnus obesus","Pelagic"
"HighSeas","BIGEYEEPAC","Eastern Pacific","Bigeye tuna","Thunnus obesus","Pelagic"
"HighSeas","BIGEYEIO","Indian Ocean","Bigeye tuna","Thunnus obesus","Pelagic"
"HighSeas","BIGEYEWPO","Western Pacific Ocean","Bigeye tuna","Thunnus obesus","Pelagic"
"HighSeas","PTOOTHFISHMI","Macquarie Island","Patagonian toothfish","Dissostichus eleginoides","Other demersal"
"HighSeas","PTOOTHFISHPEI","South Africa Subantarctic Prince Edward Islands","Patagonian toothfish","Dissostichus eleginoides","Other demersal"
"HighSeas","SBT","Southern Oceans","Southern bluefin tuna","Thunnus maccoyii","Pelagic"
"HighSeas","SKJCWPAC","Central Western Pacific","Skipjack tuna","Katsuwonus pelamis","Pelagic"
"HighSeas","STMARLINSWPO","Western Pacific Ocean","Striped marlin","Kajikia audax","Other demersal"
"HighSeas","SWORDNATL","Northern Atlantic","Swordfish","Xiphias gladius","Pelagic"
"HighSeas","YFINATL","Atlantic","Yellowfin tuna","Thunnus albacares","Pelagic"
"HighSeas","YFINCWPAC","Central Western Pacific","Yellowfin tuna","Thunnus albacares","Pelagic"
"HighSeas","YFINEPAC","Northeast Pacific","Yellowfin tuna","Thunnus albacares","Pelagic"
"NEAtl","BWHITNEA","Northeast Atlantic","Blue whiting","Micromesistius poutassou","Gadidae"
"NEAtl","CAPEICE","Iceland Grounds","Capelin","Mallotus villosus","Pelagic"
