"country","areatype","areacode","areaname","alternateareaname"
"New Zealand","MFish","LIN6b","New Zealand Areas LIN 6b","NA"
"New Zealand","MFish","LIN5-6","New Zealand Areas LIN 5 and 6","NA"
"New Zealand","MFish","LIN72","New Zealand Areas LIN 72","NA"
"New Zealand","MFish","LIN7WC-WCSI","New Zealand Areas LIN 7WC-WCSI","NA"
"New Zealand","MFish","CR","Chatham Rise","NA"
"New Zealand","MFish","SA","Sub-Antarctic","NA"
"New Zealand","MFish","NZ","New Zealand","NA"
"New Zealand","MFish","TRE7","New Zealand Areas TRE 7","NA"
"New Zealand","MFish","CIR","New Zealand - Campbell Island Rise","NA"
"USA","NMFS","NS","Norton Sound","NA"
"multinational","ICES","28","Gulf of Riga East of Gotland","NA"
"New Zealand","MFish","WECR","West end of Chatham Rise","NA"
"USA","NMFS","ATL","Atlantic","NA"
"New Zealand","MFish","PAU5A","New Zealand Area PAU 5A","NA"
"USA","NMFS","AIES","Aleutian Islands Eastern segment","NA"
"New Zealand","MFish","PAU5D","New Zealand Area PAU 5D (Otago)","NA"
"multinational","ICCAT","EATL","Eastern Atlantic","NA"
"USA","NMFS","AIWS","Aleutian Islands Western segment","NA"
"New Zealand","MFish","PAU5B","New Zealand Area PAU 5B (Stewart Island)","NA"
"New Zealand","MFish","PAU7","New Zealand Area PAU 7 (Marlborough)","NA"
"multinational","ICCAT","WATL","Western Atlantic","NA"
"New Zealand","MFish","CRA3","New Zealand Area CRA3","NA"
"New Zealand","MFish","CRA2","New Zealand Area CRA2","NA"
"New Zealand","MFish","CRA1","New Zealand Area CRA1","NA"
"New Zealand","MFish","CRA4","New Zealand Area CRA4","NA"
"New Zealand","MFish","CRA5","New Zealand Area CRA5","NA"
"New Zealand","MFish","CRA7","New Zealand Area CRA7","NA"
"New Zealand","MFish","CRA8","New Zealand Area CRA8","NA"
"Australia","AFMA","GAB","Great Australian Bight","NA"
"Australia","AFMA","SE","Southeast Australia","NA"
"Australia","AFMA","CASCADE","Cascade Plateau","NA"
"Australia","AFMA","NAUST","Northern Australia","NA"
"Argentina","CFP","ARG-S","Southern Argentina","NA"
"Argentina","CFP","ARG-N","Northern Argentina","NA"
"multinational","ICES","VIIIc","Bay of Biscay -South","NA"
"Australia","AFMA","MI","Macquarie Island",""
"Australia","AFMA","TAS","Tasmania","NA"
"Canada","DFO","2J3KLNOPs","Labrador Shelf-Grand Banks-S. Pierre Bank","NA"
"Canada","DFO","2J3KL","Southern Labrador-Eastern Newfoundland","NA"
"Canada","DFO","3Pn4RS","Northern Gulf of St. Lawrence","NA"
"Canada","DFO","3Ps","St. Pierre Bank","NA"
"Canada","DFO","23K","Labrador - NE Newfoundland","NA"
"Canada","DFO","4R","NAFO division 4R","NA"
"Canada","DFO","4T","Southern Gulf of St. Lawrence","NA"
"Canada","DFO","4RST","Gulf of St. Lawrence","NA"
"Canada","DFO","4TVn","Southern Gulf of St. Lawrence and Cabot Strait","NA"
"Canada","DFO","4Vn","Cabot Strait","NA"
"Canada","DFO","4VsW","Eastern Scotian Shelf","NA"
"Canada","DFO","4VWX","Scotian Shelf and Bay of Fundy","NA"
"Canada","DFO","4VWX5","Scotian Shelf, Bay of Fundy and Georges Bank","NA"
"Canada","DFO","4VWX5Zc","Scotian Shelf, Bay of Fundy and Georges Bank","NA"
"Canada","DFO","4X","Western Scotian Shelf","NA"
"Canada","DFO","4X5Y","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","NA"
"Canada","DFO","4X5YZ","Western Scotian Shelf, Bay of Fundy, Gulf of Maine and Georges Bank","NA"
"Canada","DFO","3Pn4RSTVn","Gulf of St. Lawrence and Cabot Strait","NA"
"Canada","DFO","5Zejm","Georges Bank","NA"
"Canada","DFO","5Zjm","Georges Bank","NA"
"Canada","DFO","CC","Central Coast","NA"
"Canada","DFO","HS","Hecate Strait","NA"
"Canada","DFO","PRD","Prince Rupert District","NA"
"Canada","DFO","QCI","Queen Charlotte Islands","NA"
"Canada","DFO","SOG","Straight of Georgia","NA"
"Canada","DFO","WCVANI","West Coast of Vancouver Island","NA"
"Canada","DFO","ATL","Canadian Atlantic Ocean","NA"
"Canada","DFO","PCOAST","Pacific Coast of Canada",""
"multinational","GFCMED","BLACKW","Western Black Sea","NA"
"multinational","IATTC","EPAC","Eastern Pacific","NA"
"multinational","IATTC","NEPAC","Northeast Pacific","NA"
