country, mgmt, areacode, areaname, alternateareaname
"multinational","ICES","I","Barents Sea",""
"multinational","ICES","IIa","Norwegian Sea",""
"multinational","ICES","IIb","Spitzbergen and Bear Island",""
"multinational","ICES","I-II","North-East Arctic",""
"multinational","ICES","IIIa","Kattegat and Skagerrak","Skagerrak"
"multinational","ICES","IIIb(23)","Sound Sea",""
"multinational","ICES","IIIc(22)","Belt Sea",""
"multinational","ICES","IIId","Baltic Sea",""
"multinational","ICES","IVa","Northern North Sea",""
"multinational","ICES","IVb","Central North Sea",""
"multinational","ICES","IVc","Southern North Sea",""
"multinational","ICES","IV","North Sea",""
"multinational","ICES","Va","Iceland Grounds",""
"multinational","ICES","Vb","Faroe Grounds",""
"multinational","ICES","Vb1","Faroe Plateau",""
"multinational","ICES","Vb2","Faroe Bank",""
"multinational","ICES","VIa","West of Scotland","Clyde herring"
"multinational","ICES","VIb","Rockall Bank",""
"multinational","ICES","VIIa","Irish Sea",""
"multinational","ICES","VIIb","West of Ireland",""
"multinational","ICES","VIIc","Porcupine Bank",""
"multinational","ICES","VIId","Eastern English Channel",""
"multinational","ICES","VIIe","Western English Channel",""
"multinational","ICES","VIIf","Bristol Channel",""
"multinational","ICES","VIIg","Celtic Sea North",""
"multinational","ICES","VIIh","Celtic Sea South",""
"multinational","ICES","VIIj","Southwest of Ireland -East",""
"multinational","ICES","VIIk","Southwest of Ireland -West",""
"multinational","ICES","VIIb-k","ICES VIIb-k",""
"multinational","ICES","VIIe-k","Celtic Sea",""
"multinational","ICES","VIIf-g","Celtic Sea",""
"multinational","ICES","VIIIa","Bay of Biscay -North",""
"multinational","ICES","VIIIb","Bay of Biscay -Central",""
"multinational","ICES","VIIIc","Bay of Biscay -South",""
"multinational","ICES","VIIId","Bay of Biscay -Offshore",""
"multinational","ICES","VIIIe","West of Bay of Biscay",""
"multinational","ICES","VIII","Bay of Biscay",""
"multinational","ICES","IXa","Portugese Waters -East",""
"multinational","ICES","IXb","Portugese Waters -West",""
"multinational","ICES","X","Azores Grounds",""
"multinational","ICES","XII","North of Azores",""
"multinational","ICES","XIVa","Northeast Greenland",""
"multinational","ICES","XIVb","Southeast Greenland",""
