BSBASSMATLC	Black sea bass Mid-Atlantic Coast	Southeast U.S. Continental Shelf	Northeast U.S. Continental Shelf				
RDEEPCRABNWATL	Red deepsea crab Northwestern Atlantic	Northeast U.S. Continental Shelf					
SHAKEGOMNGB	Silver hake Gulf of Maine / Northern Georges Bank	Northeast U.S. Continental Shelf					
SHAKESGBMATL	Silver hake Southern Georges Bank / Mid-Atlantic	Northeast U.S. Continental Shelf					
MACKGOMCHATT	Atlantic mackerel Gulf of Maine / Cape Hatteras	Northeast U.S. Continental Shelf					
ILLEXNWATLC	Northern shortfin squid Northwestern Atlantic Coast	Northeast U.S. Continental Shelf					
BLUEFISHATLC	Bluefish Atlantic Coast	Northeast U.S. Continental Shelf	Southeast U.S. Continental Shelf				
TILEMATLC	Tilefish Mid-Atlantic Coast	Southeast U.S. Continental Shelf	Northeast U.S. Continental Shelf				
BUTTERGOMCHATT	Atlantic butterfish Gulf of Maine / Cape Hatteras	Northeast U.S. Continental Shelf					
SCUPNWATLC	Scup Atlantic Coast	Northeast U.S. Continental Shelf	Southeast U.S. Continental Shelf				
WINFLOUNGB	Winter flounder Georges Bank	Northeast U.S. Continental Shelf					
HERRNWATLC	Atlantic herring Northwestern Atlantic Coast	Northeast U.S. Continental Shelf					
RSNAPEGM	Red snapper Eastern Gulf of Mexico	Gulf of Mexico					
RSNAPWGM	Red snapper Western Gulf of Mexico	Gulf of Mexico					
BRNROCKSHRIMPSATLC	Brown rock shrimp Southern Atlantic Coast	Southeast U.S. Continental Shelf					
SABLEFEBSAIGA	Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska	East Bering Sea	Gulf of Alaska				
PCODBSAI	Pacific cod Bering Sea and Aleutian Islands	East Bering Sea					
YSOLEBSAI	Yellowfin sole Bering Sea and Aleutian Islands	East Bering Sea					
NRSOLEBSAI	Northern rock sole Bering Sea and Aleutian Islands	East Bering Sea					
ARFLOUNDBSAI	Arrowtooth flounder Bering Sea and Aleutian Islands	East Bering Sea					
ALPLAICBSAI	Alaska plaice Bering Sea and Aleutian Islands	East Bering Sea					
NROCKBSAI	Northern rockfish Bering Sea and Aleutian Islands	East Bering Sea					
POPERCHBSAI	Pacific ocean perch Bering Sea and Aleutian Islands	East Bering Sea					
REYEROCKBSAI	Rougheye rockfish Bering Sea and Aleutian Islands	East Bering Sea					
