"tscategory","tsshort","tslong","tsunitsshort","tsunitslong"
"TIME UNITS","YEAR","YEAR","yr","years"
"SPAWNING STOCK BIOMASS or CPUE","SSB","Spawning Stock Biomass","E03MT","Thousands of metric tons"
"SPAWNING STOCK BIOMASS or CPUE","SSB","Spawning Stock Biomass","MT","Metric tons"
"SPAWNING STOCK BIOMASS or CPUE","SSB","Spawning Stock Biomass","relative","relative"
"SPAWNING STOCK BIOMASS or CPUE","SSB-1","Spawning Stock Biomass. Use only when there is more than 1 'final' model.","MT","Metric tons"
"SPAWNING STOCK BIOMASS or CPUE","SSB-2","Spawning Stock Biomass. Use only when there is more than 1 'final' model.","MT","Metric tons"
"SPAWNING STOCK BIOMASS or CPUE","SSB-3","Spawning Stock Biomass. Use only when there is more than 1 'final' model.","MT","Metric tons"
"SPAWNING STOCK BIOMASS or CPUE","SSB-4","Spawning Stock Biomass. Use only when there is more than 1 'final' model.","MT","Metric tons"
"SPAWNING STOCK BIOMASS or CPUE","SSB-STDDEV","Standard deviation of spawning Stock Biomass","MT","Metric tons"
"SPAWNING STOCK BIOMASS or CPUE","CPUEstand","Standardized CPUE for spawners. Use CPUE if SSB not available.","C/E","catch/effort"
"SPAWNING STOCK BIOMASS or CPUE","CPUEraw","Raw CPUE for spawners. Use if CPUEstand is not available.","C/E","catch/effort"
"SPAWNING STOCK BIOMASS or CPUE","CPUEstand-1","Standardized CPUE for spawners. Use only when there is more than 1 CPUE series","C/E","catch/effort"
"SPAWNING STOCK BIOMASS or CPUE","CPUEstand-2","Standardized CPUE for spawners. Use only when there is more than 1 CPUE series","C/E","catch/effort"
"SPAWNING STOCK BIOMASS or CPUE","CPUEstand-3","Standardized CPUE for spawners. Use only when there is more than 1 CPUE series","C/E","catch/effort"
"SPAWNING STOCK BIOMASS or CPUE","CPUEraw-1","Standardized CPUE for spawners. Use only when there is more than 1 CPUE series","C/E","catch/effort"
"SPAWNING STOCK BIOMASS or CPUE","CPUEraw-2","Standardized CPUE for spawners. Use only when there is more than 1 CPUE series","C/E","catch/effort"
"SPAWNING STOCK BIOMASS or CPUE","CPUEraw-3","Standardized CPUE for spawners. Use only when there is more than 1 CPUE series","C/E","catch/effort"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","R","Recruits","MT","Metric tons"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","R","Recruits","E09","Billions"
