tsn,sciname,kingdom,phylum,class,order,family,genus,species,myersname,commonname1,commonname2
550561,Anarhichas denticulatus,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,denticulatus,NWOLF,Northern wolffish,
171342,Anarhichas minor,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,minor,SPWOLF,Spotted wolffish,
171341,Anarhichas lupus,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,lupus,STRWOLF,Striped wolffish,
167123,Anoplopoma fimbria,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,SABLEF,Sablefish,
172750,Scophthalmus maeoticus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,maeoticus,TURBOT,Black Sea turbot,
168598,Trachurus capensis,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,capensis,CTRAC,Cape horse mackerel,
168590,Trachurus mediterraneus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,mediterraneus,MTRAC,Mediterranean horse mackerel,
168586,Trachurus symmetricus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,symmetricus,STRAC,Pacific jack mackerel,South Pacific horse mackerel
168588,Trachurus trachurus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,trachurus,TRAC,Horse mackerel,Atlantic horse mackerel
642743,Champsocephalus gunnari,Animalia,Chordata,Actinopterygii,Perciformes,Channichthyidae,Champsocephalus,gunnari,CGUN,Mackerel icefish,
642960,Pseudochaenichthys georgianus,Animalia,Chordata,Actinopterygii,Perciformes,Channichthyidae,Pseudochaenichthys,georgianus,PSGEOR,South Georgia icefish,
161703,Alosa aestivalis,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,aestivalis,ALOSA,Blueback shad,Blueback herring
551288,Alosa kessleri,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,kessleri,ALOSK,Caspian anadromous shad,Black sea shad
161732,Brevoortia tyrannus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,tyrannus,MENAT,Atlantic menhaden,
161734,Brevoortia patronus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,patronus,MENGF,Gulf menhaden,
161722,Clupea harengus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,HERR,Herring,
551209,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii,PHERR,Pacific herring,
161813,Sardina pilchardus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,SARDP,European pilchard,Spanish sardine
572698,Sardinella janeiro,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,janeiro,SARDJ,Brazilian sardinella,Brazilian sardine
161729,Sardinops sagax,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax,SARD,Sardine,
161789,Sprattus sprattus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,sprattus,SPRAT,Sprat,
692068,Scorpaenichthys marmoratus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,marmoratus,CABEZ,Cabezon,
551435,Coilia dussumieri,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Coilia,dussumieri,GANCHO,Goldspotted grenadier anchovy,
161831,Engraulis encrasicolus,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,encrasicolus,ANCHO,Anchovy,European anchovy
161828,Engraulis mordax,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,mordax,NANCHO,Northern anchovy,Californian anchovy
551340,Engraulis ringens,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,ringens,PEANCHO,Peruvian anchoveta,Anchoveta
164712,Gadus morhua,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,COD,Atlantic cod,
164711,Gadus macrocephalus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,macrocephalus,PCOD,Pacific cod,
164744,Melanogrammus aeglefinus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,HAD,Haddock,
164758,Merlangius merlangus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Merlangius,merlangus,WHIT,Whiting,
164774,Micromesistius poutassou,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,poutassou,BWHIT,Blue whiting,
164775,Micromesistius australis,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,australis,SBWHIT,Southern blue whiting,
