assessid,scientificname,commonname1,stocklong,lme_name,tsyear,tsid,tsvalue
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1972,TB-MT,5831000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1973,TB-MT,6630000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1974,TB-MT,7121000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1975,TB-MT,8841000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1976,TB-MT,7584000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1977,TB-MT,6254000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1978,TB-MT,6119000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1979,TB-MT,6576000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1980,TB-MT,8219000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1981,TB-MT,4489000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1982,TB-MT,4205000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1983,TB-MT,4772000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1984,TB-MT,3303000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1985,TB-MT,1087000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1986,TB-MT,157000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1987,TB-MT,107000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1988,TB-MT,361000
AFWG-CAPENOR-1964-2006-MINTO,Mallotus villosus,Capelin,Capelin Barents Sea,Barents Sea,1989,TB-MT,771000
